Make,Model,Number.of.Engines,Total.Fatalities,Total.Uninjured,Publication.Date,Aircraft.damage_Destroyed,Aircraft.damage_Minor,Aircraft.damage_Substantial,Total.Injuries,total.inj.or.killed,Percent.Injured.or.Killed,Passenger.Capacity.Tier
BEECH,58,2.0,0.0,3.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-34,2.0,1.0,0.0,3/11/2020,False,False,True,0.0,1.0,1.0,private plane
GULFSTREAM,GIV,2.0,3.0,0.0,3/11/2020,True,False,False,0.0,3.0,1.0,private plane
PIPER,PA-44,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BOMBARDIER,CL-600-2C10,2.0,0.0,56.0,25-09-2020,False,False,False,1.0,1.0,0.017543859649122806,
BEECH,G58,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-30,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BEECH,B60,2.0,3.0,0.0,25-09-2020,True,False,False,0.0,3.0,1.0,private plane
BOEING,737,2.0,0.0,76.0,25-09-2020,False,True,False,0.0,0.0,0.0,large airliner
BEECH,A55,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BEECH,200,2.0,0.0,4.0,3/11/2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-30,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BOEING,737,2.0,0.0,157.0,25-09-2020,False,True,False,0.0,0.0,0.0,large airliner
PIPER,PA-44,2.0,0.0,3.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BEECH,E55,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-44,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
AIRBUS,A319,2.0,0.0,100.0,25-09-2020,False,True,False,0.0,0.0,0.0,large airliner
EMBRAER,EMB170,2.0,0.0,75.0,25-09-2020,False,False,False,1.0,1.0,0.013157894736842105,regional airliner
BOEING,757,2.0,0.0,0.0,3/11/2020,False,False,False,0.0,0.0,0.0,large airliner
AIRBUS,A330,2.0,0.0,270.0,13-09-2021,False,True,False,0.0,0.0,0.0,large airliner
BEECH,G18,2.0,1.0,12.0,25-09-2020,False,False,True,0.0,1.0,0.07692307692307693,private plane
PIPER,PA-30,2.0,1.0,0.0,3/11/2020,False,False,True,3.0,4.0,1.0,private plane
CESSNA,560XL,2.0,0.0,8.0,25-09-2020,False,True,False,0.0,0.0,0.0,private plane
BEECH,A60,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-30,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-31,2.0,4.0,0.0,3/11/2020,False,False,True,0.0,4.0,1.0,private plane
BEECH,A55,2.0,1.0,0.0,25-09-2020,False,False,True,1.0,2.0,1.0,private plane
PIPER,PA-23,2.0,2.0,0.0,25-09-2020,False,False,True,0.0,2.0,1.0,private plane
CESSNA,402,2.0,0.0,10.0,25-09-2020,False,True,False,0.0,0.0,0.0,private plane
BEECH,B55,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,421,2.0,0.0,0.0,25-09-2020,False,False,True,2.0,2.0,1.0,private plane
BEECH,76,2.0,0.0,0.0,25-09-2020,False,False,True,2.0,2.0,1.0,private plane
PIPER,PA-31,2.0,0.0,4.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BOEING,747,4.0,0.0,0.0,3/11/2020,False,False,False,0.0,0.0,0.0,large airliner
CESSNA,402,2.0,0.0,3.0,25-09-2020,False,True,False,0.0,0.0,0.0,private plane
BOEING,747,4.0,0.0,2.0,25-09-2020,False,True,False,0.0,0.0,0.0,large airliner
CESSNA,421,2.0,0.0,4.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-23,2.0,1.0,0.0,25-09-2020,False,False,True,0.0,1.0,1.0,private plane
BOEING,767,2.0,0.0,220.0,3/11/2020,False,False,True,0.0,0.0,0.0,large airliner
BEECH,400,2.0,0.0,1.0,25-09-2020,False,False,True,2.0,2.0,0.6666666666666666,private plane
AIRBUS,PA-23,2.0,0.0,158.0,25-09-2020,False,False,False,1.0,1.0,0.006289308176100629,private plane
BEECH,C55,2.0,0.0,0.0,25-09-2020,False,False,True,2.0,2.0,1.0,private plane
LEARJET,36,2.0,0.0,5.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-34,2.0,1.0,0.0,3/11/2020,False,False,True,0.0,1.0,1.0,private plane
LEARJET,60,2.0,0.0,2.0,25-09-2020,False,False,False,0.0,0.0,0.0,private plane
CESSNA,421,2.0,0.0,4.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,414,2.0,6.0,0.0,3/11/2020,True,False,False,2.0,8.0,1.0,private plane
CESSNA,310I,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,
BOEING,717,2.0,0.0,108.0,25-09-2020,False,False,True,0.0,0.0,0.0,large airliner
BEECH,1900,2.0,0.0,8.0,3/11/2020,False,False,False,0.0,0.0,0.0,regional airliner
AIRBUS,A330,2.0,0.0,0.0,3/11/2020,False,False,False,0.0,0.0,0.0,large airliner
PIPER,PA-23,2.0,3.0,0.0,25-09-2020,False,False,True,1.0,4.0,1.0,private plane
BOEING,737,2.0,0.0,85.0,25-09-2020,False,False,False,1.0,1.0,0.011627906976744186,large airliner
BOMBARDIER,DHC-8-315,2.0,0.0,7.0,25-09-2020,False,False,True,0.0,0.0,0.0,
CESSNA,560XL,2.0,0.0,3.0,25-09-2020,False,True,False,0.0,0.0,0.0,private plane
BEECH,B90,2.0,0.0,1.0,25-09-2020,False,False,True,1.0,1.0,0.5,private plane
CESSNA,320E,2.0,1.0,0.0,25-09-2020,False,False,True,0.0,1.0,1.0,
CESSNA,310,2.0,2.0,0.0,25-09-2020,False,False,True,0.0,2.0,1.0,
BOEING,MD-88,2.0,0.0,147.0,25-09-2020,False,False,False,0.0,0.0,0.0,large airliner
BOEING,777,2.0,0.0,203.0,3/11/2020,False,True,False,0.0,0.0,0.0,large airliner
CESSNA,421,2.0,2.0,0.0,25-09-2020,False,False,True,0.0,2.0,1.0,private plane
CESSNA,Citation,2.0,0.0,1.0,3/11/2020,False,False,True,2.0,2.0,0.6666666666666666,private plane
BEECH,B55,2.0,3.0,0.0,3/11/2020,True,False,False,0.0,3.0,1.0,private plane
CESSNA,550,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
AIRBUS,A310 - 308,2.0,0.0,0.0,3/11/2020,False,False,False,0.0,0.0,0.0,
BEECH,C90,2.0,0.0,4.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,310B,2.0,1.0,0.0,25-09-2020,False,False,True,0.0,1.0,1.0,
PIPER,PA-30,2.0,0.0,3.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,421,2.0,1.0,0.0,25-09-2020,False,False,True,0.0,1.0,1.0,private plane
BOEING,777,2.0,0.0,0.0,25-09-2020,False,True,False,0.0,0.0,0.0,large airliner
BEECH,F90,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BEECH,58,2.0,1.0,0.0,25-09-2020,False,False,True,0.0,1.0,1.0,private plane
BOMBARDIER,CL-600-2B19,2.0,0.0,53.0,25-09-2020,False,False,True,0.0,0.0,0.0,
CESSNA,421,2.0,1.0,0.0,25-09-2020,False,False,True,0.0,1.0,1.0,private plane
CESSNA,Citation,2.0,0.0,6.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
LEARJET,25,2.0,7.0,0.0,3/11/2020,True,False,False,0.0,7.0,1.0,private plane
PIPER,PA-31,2.0,2.0,0.0,25-09-2020,True,False,False,0.0,2.0,1.0,private plane
BEECH,E90,2.0,2.0,0.0,25-09-2020,False,False,True,0.0,2.0,1.0,private plane
BEECH,B100,2.0,2.0,0.0,25-09-2020,True,False,False,0.0,2.0,1.0,private plane
PIPER,PA-31,2.0,1.0,0.0,25-09-2020,False,False,True,0.0,1.0,1.0,private plane
AIRBUS,A330,2.0,0.0,257.0,3/11/2020,False,True,False,0.0,0.0,0.0,large airliner
BEECH,B55,2.0,0.0,0.0,25-09-2020,False,False,True,1.0,1.0,1.0,private plane
CESSNA,550,2.0,0.0,1.0,25-09-2020,False,False,True,1.0,1.0,0.5,private plane
PIPER,PA-31,2.0,1.0,0.0,25-09-2020,False,False,True,1.0,2.0,1.0,private plane
EMBRAER,EMB145,2.0,0.0,49.0,25-09-2020,False,False,False,1.0,1.0,0.02,regional airliner
BOEING,777,2.0,0.0,0.0,3/11/2020,False,False,False,0.0,0.0,0.0,large airliner
PIPER,PA-60,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-30,2.0,3.0,0.0,25-09-2020,True,False,False,0.0,3.0,1.0,private plane
PIPER,PA-34,2.0,5.0,0.0,3/11/2020,False,False,True,0.0,5.0,1.0,private plane
BEECH,65-B80,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-34,2.0,1.0,0.0,25-09-2020,True,False,False,1.0,2.0,1.0,private plane
CESSNA,560XL,2.0,0.0,4.0,25-09-2020,False,False,False,0.0,0.0,0.0,private plane
BOEING,787,2.0,0.0,133.0,3/11/2020,False,True,False,4.0,4.0,0.029197080291970802,large airliner
AIRBUS,A340,4.0,0.0,397.0,25-09-2020,False,True,False,0.0,0.0,0.0,
PIPER,PA-31,2.0,7.0,0.0,3/11/2020,False,False,True,0.0,7.0,1.0,private plane
BEECH,B55,2.0,3.0,0.0,25-09-2020,False,False,True,0.0,3.0,1.0,private plane
BOEING,737,2.0,0.0,193.0,25-09-2020,False,True,False,0.0,0.0,0.0,large airliner
BEECH,E90,2.0,2.0,0.0,25-09-2020,True,False,False,0.0,2.0,1.0,private plane
BEECH,58,2.0,0.0,3.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BOMBARDIER,CL-600-2B19,2.0,0.0,39.0,25-09-2020,False,True,False,1.0,1.0,0.025,
CESSNA,Skymaster,2.0,1.0,0.0,25-09-2020,True,False,False,0.0,1.0,1.0,private plane
BEECH,A60,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,310H,2.0,3.0,0.0,25-09-2020,False,False,True,0.0,3.0,1.0,
PIPER,PA-31,2.0,0.0,3.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,T310R,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,
BOEING,747,4.0,0.0,220.0,25-09-2020,False,False,False,1.0,1.0,0.004524886877828055,large airliner
EMBRAER,EMB145,2.0,0.0,53.0,25-09-2020,False,False,False,1.0,1.0,0.018518518518518517,regional airliner
BEECH,390,2.0,5.0,0.0,25-09-2020,True,False,False,2.0,7.0,1.0,private plane
CESSNA,Skymaster,2.0,0.0,0.0,25-09-2020,False,False,True,4.0,4.0,1.0,private plane
EMBRAER,EMB190,2.0,0.0,3.0,25-09-2020,False,False,False,1.0,1.0,0.25,regional airliner
BOEING,747,4.0,0.0,3.0,14-06-2021,False,True,False,0.0,0.0,0.0,large airliner
BOMBARDIER,402,2.0,0.0,51.0,25-09-2020,False,True,False,0.0,0.0,0.0,private plane
BEECH,B200,2.0,9.0,0.0,3/11/2020,True,False,False,0.0,9.0,1.0,private plane
BEECH,1900C,2.0,2.0,0.0,25-09-2020,True,False,False,0.0,2.0,1.0,
BOEING,757,2.0,0.0,148.0,25-09-2020,False,False,True,0.0,0.0,0.0,large airliner
EMBRAER,EMB820,2.0,10.0,0.0,3/11/2020,True,False,False,0.0,10.0,1.0,private plane
PIPER,PA-23,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-31,2.0,3.0,0.0,25-09-2020,True,False,False,0.0,3.0,1.0,private plane
PIPER,PA-23,2.0,0.0,6.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BEECH,390,2.0,2.0,0.0,25-09-2020,True,False,False,2.0,4.0,1.0,private plane
PIPER,PA-23,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-23,2.0,0.0,0.0,25-09-2020,False,False,True,1.0,1.0,1.0,private plane
PIPER,PA-30,2.0,0.0,4.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,421,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BOEING,757,2.0,0.0,0.0,,False,False,False,0.0,0.0,0.0,large airliner
EMBRAER,EMB145,2.0,0.0,0.0,25-09-2020,False,False,False,0.0,0.0,0.0,regional airliner
BEECH,G58,2.0,2.0,0.0,25-09-2020,True,False,False,0.0,2.0,1.0,private plane
CESSNA,310Q,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,
CESSNA,402,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,414,2.0,0.0,1.0,25-09-2020,False,False,True,1.0,1.0,0.5,private plane
EMBRAER,EMB500,2.0,0.0,1.0,25-09-2020,False,False,False,0.0,0.0,0.0,private plane
AIRBUS,A321,2.0,0.0,192.0,25-09-2020,False,False,True,0.0,0.0,0.0,large airliner
BEECH,C55,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-23,2.0,2.0,0.0,25-09-2020,True,False,False,0.0,2.0,1.0,private plane
BOEING,767,2.0,0.0,0.0,3/11/2020,False,False,True,0.0,0.0,0.0,large airliner
BOEING,747,4.0,0.0,146.0,3/11/2020,False,True,False,0.0,0.0,0.0,large airliner
BOEING,777,2.0,0.0,0.0,3/11/2020,False,True,False,0.0,0.0,0.0,large airliner
BOEING,747,4.0,7.0,0.0,14-06-2021,True,False,False,0.0,7.0,1.0,large airliner
AIRBUS,A330,2.0,0.0,290.0,25-09-2020,False,True,False,0.0,0.0,0.0,large airliner
CESSNA,421,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BEECH,58,2.0,0.0,2.0,25-09-2020,False,True,False,0.0,0.0,0.0,private plane
LEARJET,60,2.0,2.0,0.0,3/11/2020,True,False,False,0.0,2.0,1.0,private plane
BOMBARDIER,CL-600,2.0,0.0,55.0,3/11/2020,False,True,False,0.0,0.0,0.0,private plane
CESSNA,310R,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,
AIRBUS,320,2.0,0.0,119.0,25-09-2020,False,False,False,1.0,1.0,0.008333333333333333,
BOEING,737,2.0,0.0,59.0,25-09-2020,False,True,False,0.0,0.0,0.0,large airliner
PIPER,PA-44,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
EMBRAER,EMB170,2.0,0.0,3.0,25-09-2020,False,False,False,1.0,1.0,0.25,regional airliner
LEARJET,35A,2.0,0.0,3.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,421,2.0,1.0,0.0,25-09-2020,True,False,False,0.0,1.0,1.0,private plane
BOMBARDIER,DHC8,2.0,0.0,34.0,25-09-2020,False,False,True,0.0,0.0,0.0,
BOEING,747,4.0,0.0,3.0,25-09-2020,False,True,False,0.0,0.0,0.0,large airliner
PIPER,PA-34,2.0,3.0,0.0,25-09-2020,True,False,False,0.0,3.0,1.0,private plane
PIPER,PA-39,2.0,1.0,0.0,3/11/2020,False,False,True,0.0,1.0,1.0,private plane
PIPER,PA-31,2.0,0.0,5.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-34,2.0,0.0,2.0,25-09-2020,False,False,False,0.0,0.0,0.0,private plane
BEECH,B200GT,2.0,1.0,0.0,25-09-2020,True,False,False,0.0,1.0,1.0,private plane
PIPER,PA-34,2.0,1.0,0.0,3/11/2020,False,False,True,6.0,7.0,1.0,private plane
CESSNA,A340,2.0,1.0,0.0,25-09-2020,True,False,False,0.0,1.0,1.0,
BEECH,58P,2.0,0.0,2.0,25-09-2020,False,False,True,1.0,1.0,0.3333333333333333,private plane
PIPER,PA-30,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
PIPER,PA-30,2.0,2.0,0.0,25-09-2020,False,False,True,1.0,3.0,1.0,private plane
CESSNA,Skymaster,2.0,1.0,0.0,25-09-2020,True,False,False,0.0,1.0,1.0,private plane
BEECH,200,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BEECH,B55,2.0,3.0,0.0,25-09-2020,True,False,False,0.0,3.0,1.0,private plane
BOEING,777,2.0,0.0,0.0,25-09-2020,False,False,False,0.0,0.0,0.0,large airliner
PIPER,PA-44,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BOEING,777,2.0,3.0,117.0,14-06-2021,True,False,False,187.0,190.0,0.6188925081433225,large airliner
BOEING,777,2.0,0.0,278.0,25-09-2020,False,False,False,1.0,1.0,0.0035842293906810036,large airliner
PIPER,PA-34,2.0,0.0,2.0,25-09-2020,False,False,False,0.0,0.0,0.0,private plane
BOEING,777,2.0,0.0,0.0,3/11/2020,False,False,False,0.0,0.0,0.0,large airliner
BOEING,737,2.0,0.0,141.0,13-09-2021,False,False,True,8.0,8.0,0.053691275167785234,large airliner
CESSNA,Citation,2.0,0.0,2.0,3/11/2020,False,True,False,0.0,0.0,0.0,private plane
PIPER,PA-30,2.0,1.0,0.0,25-09-2020,False,False,True,0.0,1.0,1.0,private plane
PIPER,PA-44,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BEECH,58,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BOEING,737,2.0,0.0,0.0,25-09-2020,False,False,False,0.0,0.0,0.0,large airliner
BEECH,D55,2.0,3.0,0.0,25-09-2020,True,False,False,0.0,3.0,1.0,private plane
PIPER,PA-34,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
EMBRAER,Citation,2.0,0.0,2.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
BEECH,B200,2.0,2.0,0.0,3/11/2020,True,False,False,1.0,3.0,1.0,private plane
BEECH,58P,2.0,0.0,5.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
AIRBUS,A300,2.0,2.0,0.0,14-06-2021,True,False,False,0.0,2.0,1.0,large airliner
AIRBUS,A300,2.0,0.0,0.0,3/11/2020,False,False,False,0.0,0.0,0.0,large airliner
CESSNA,421,2.0,1.0,0.0,25-09-2020,True,False,False,0.0,1.0,1.0,private plane
BEECH,1900D,2.0,0.0,12.0,25-09-2020,False,False,True,0.0,0.0,0.0,
BEECH,C50,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
CESSNA,T-50,2.0,2.0,0.0,25-09-2020,True,False,False,0.0,2.0,1.0,private plane
CESSNA,T303,2.0,2.0,0.0,25-09-2020,False,False,True,0.0,2.0,1.0,private plane
BOMBARDIER,CL-600,2.0,0.0,10.0,3/11/2020,False,False,False,0.0,0.0,0.0,private plane
PIPER,PA-31,2.0,0.0,1.0,25-09-2020,False,False,True,0.0,0.0,0.0,private plane
